ds,unix,symbol,open,high,low,y,Volume BTC,Volume USD,is_outlier,SMA_20,EMA_20,BB_upper,BB_lower,BB_mid,RSI,daily_return,log_return,volatility_21d
2015-02-08,1423353600,BTC/USD,228.3,232.89,219.7,224.19,1232858.74,5456.94,0,233.13000000000002,232.51566341744183,264.0517845198931,202.20821548010696,233.13000000000002,38.992992078001215,-1.9334237347447658,-0.01952358832557126,79.38442861633041
2015-02-09,1423440000,BTC/USD,224.19,225.99,215.0,220.72,4277024.95,19478.94,0,233.612,231.39226690149496,263.3650315837061,203.85896841629386,233.612,29.389893527125224,-1.5477942816361168,-0.015598976701277837,79.17966936659582
2015-02-10,1423526400,BTC/USD,220.72,222.0,215.0,220.95,1385375.22,6332.22,0,233.23000000000002,230.3977652918288,263.4470777785286,203.01292222147143,233.23000000000002,31.242191683026945,0.10420442189198464,0.0010415016677182715,78.52573414139337
2015-02-11,1423612800,BTC/USD,220.95,223.43,217.99,219.12,2057106.38,9298.5,0,232.536,229.3236924068927,263.40583702410333,201.6661629758967,232.536,40.19517795637199,-0.8282416836388307,-0.008316906621926232,73.32514731096357
2015-02-12,1423699200,BTC/USD,219.55,223.07,218.17,222.46,886601.16,4010.23,0,232.00750000000002,228.67000741576007,263.20194274057,200.81305725943002,232.00750000000002,43.094729744915156,1.524278933917489,0.015127785209060515,73.19350671557478
2015-02-13,1423785600,BTC/USD,223.0,242.35,221.37,236.86,1895018.31,8077.55,0,231.35099999999997,229.4500067094972,261.48665672614004,201.2153432738599,231.35099999999997,52.103911497431845,6.473073811022201,0.06272193912946572,76.57832110618791
2015-02-14,1423872000,BTC/USD,237.0,259.31,236.9,257.9,2698932.39,10813.61,0,231.5915,232.15952988002127,262.5238814489804,200.65911855101962,231.5915,68.53984766858629,8.882884404289438,0.08510266359394994,78.42625970052475
2015-02-15,1423958400,BTC/USD,256.99,265.89,227.75,234.01,4533254.41,18474.58,0,229.817,232.33576512954303,255.15960328089037,204.47439671910965,229.817,57.48227779076108,-9.263280341217516,-0.09720806339997845,85.38809256025452
2015-02-16,1424044800,BTC/USD,234.01,241.23,229.2,236.55,2907774.51,12321.08,0,228.49499999999998,232.73712083149132,248.81148280791174,208.1785171920882,228.49499999999998,49.341006125858556,1.0854236998419031,0.010795752589836694,82.11785982746717
2015-02-17,1424131200,BTC/USD,236.55,248.78,232.01,244.96,2871937.78,11898.41,0,228.933,233.9012045618255,250.29947556090383,207.56652443909616,228.933,58.34359897659434,3.5552737264848755,0.03493532983221643,83.02746533928143
2015-02-18,1424217600,BTC/USD,244.96,247.0,232.24,235.79,1626634.28,6766.05,0,228.98499999999999,234.08108984165165,250.41604830797854,207.55395169202143,228.98499999999999,53.84346305203323,-3.7434683213586006,-0.03815335352641744,75.18535201676883
2015-02-19,1424304000,BTC/USD,237.37,245.01,235.66,242.67,1138295.79,4730.24,0,229.48850000000002,234.89908128530388,251.7348123141547,207.24218768584532,229.48850000000002,61.539153106176386,2.9178506297977025,0.028760917315014643,75.8003794307797
2015-02-20,1424390400,BTC/USD,240.59,248.96,239.41,246.1,1115548.64,4559.19,0,230.89449999999997,235.96583544860826,253.62739800221053,208.1616019977894,230.89449999999997,60.672917815774966,1.41344212304777,0.014035461699039341,75.81134732658566
2015-02-21,1424476800,BTC/USD,245.48,247.48,244.0,245.87,381377.02,1553.36,0,232.448,236.90908921540748,254.793104350193,210.102895649807,232.448,58.355925639039505,-0.09345794392523477,-0.000935016430906643,71.75375794201469
2015-02-22,1424563200,BTC/USD,245.41,247.42,232.48,236.68,1598342.42,6739.67,0,232.3835,236.88727119489246,254.66885820951228,210.09814179048772,232.3835,55.77973160573809,-3.7377475901899326,-0.03809392315761018,73.03940334540331
2015-02-23,1424649600,BTC/USD,236.68,240.66,232.05,238.92,873272.09,3706.77,0,232.962,237.08086441442651,255.29782498800296,210.62617501199702,232.962,58.51900393184796,0.946425553489938,0.00941975005561185,63.8758803253942
